mageX,imageY,magX,magY,magZ,mag_val,lat,lon,ts,floor
118.0,228.0,-26.231250762939453,-32.38125228881836,-7.462500095367432,42.335716883663075,11.0649743,77.092907,1770636345220.0,0
208.0,297.0,-11.65000057220459,30.23750114440918,-14.475000381469727,35.49020463218073,11.0649488,77.0929228,1770636353603.0,0
482.0,453.0,-10.631250381469727,-26.062501907348633,25.106250762939453,37.71738747203535,11.0649499,77.0929275,1770636359198.0,0
157.0,210.0,42.0,13.380000114440918,1.3799999952316284,44.10134695277774,11.0649705,77.092916,1770636353653.0,0
561.0,266.0,-15.356250762939453,0.28125,-10.65000057220459,18.68999869568579,11.0651069,77.0931541,1770636444373.0,0
97.0,209.0,18.587499618530273,55.51250076293945,-12.037500381469727,59.766498127781425,11.0649555,77.0929454,1770636453238.0,0
170.0,245.0,-15.52500057220459,55.275001525878906,32.15625,65.805591331705,11.0649672,77.0929545,1770636454530.0,0
132.0,253.0,-1.3687500953674316,58.406253814697266,28.312501907348633,64.92119627474548,11.0649672,77.0929545,1770636454529.0,0
88.0,207.0,17.5625,55.73749923706055,-11.25,59.511954491944934,11.0649555,77.0929454,1770636453237.0,0
79.0,313.0,21.86250114440918,48.23749923706055,-7.887500286102295,53.544728495884385,11.0649853,77.0929073,1770636458873.0,0
107.0,301.0,22.80000114440918,47.47500228881836,-10.074999809265137,53.62109207825836,11.0649628,77.0929105,1770636455927.0,0
159.0,215.0,4.575000286102295,45.26250076293945,-2.4750001430511475,45.56040198067872,11.0650753,77.0929425,1770636464230.0,0
152.0,311.0,20.36250114440918,45.97500228881836,-12.537500381469727,51.82201466682159,11.0649944,77.0929333,1770636465917.0,0
138.0,264.0,-1.40625,37.35000228881836,17.92500114440918,41.4524531971789,11.0650771,77.0929234,1770636465703.0,0
152.0,312.0,22.024999618530273,47.97500228881836,-8.71250057220459,53.503356147339495,11.0649944,77.0929333,1770636465888.0,0
151.0,232.0,9.15000057220459,47.275001525878906,-11.40000057220459,49.48341432024939,11.0651014,77.092965,1770636470431.0,0
167.0,259.0,-15.825000762939453,36.03750228881836,14.625000953674316,41.98836592746373,11.0650963,77.0929386,1770636471988.0,0
159.0,314.0,13.33750057220459,42.63750076293945,-9.58750057220459,45.69207327365704,11.0649979,77.0929484,1770636473003.0,0
165.0,233.0,1.0500000715255737,45.9375,-15.287500381469727,48.42586162696169,11.0651148,77.0929701,1770636476532.0,0
151.0,261.0,-8.606250762939453,36.88125228881836,7.443750381469727,38.59668045736182,11.0650797,77.0929546,1770636478089.0,0
103.0,308.0,3.450000047683716,38.10000228881836,-23.025001525878906,44.65045766846862,11.0649435,77.0929325,1770636478514.0,0
99.0,311.0,-2.7750000953674316,41.25,-17.25,44.79760736389042,11.0649435,77.0929325,1770636478118.0,0
180.0,233.0,-16.80000114440918,41.8125,-2.3375000953674316,45.12193592254207,11.0650157,77.0930535,1770636483082.0,0
188.0,243.0,-15.512499809265137,42.587501525878906,-2.7250001430511475,45.40659161761448,11.0650157,77.0930535,1770636483082.0,0
208.0,322.0,9.074999809265137,43.04999923706055,-6.987500190734863,44.5475388182624,11.0650379,77.0929544,1770636484535.0,0
156.0,259.0,-0.01875000074505806,53.79375076293945,28.162500381469727,60.719802374876515,11.065016,77.0930141,1770636484930.0,0
154.0,231.0,7.425000190734863,49.98749923706055,-10.08750057220459,51.53288635038571,11.0650379,77.0929544,1770636484534.0,0
141.0,222.0,7.525000095367432,50.01250076293945,-12.387499809265137,52.070394760581976,11.0650379,77.0929544,1770636484534.0,0
159.0,218.0,8.324999809265137,45.92499923706055,-7.650000095367432,47.29623323487186,11.0650379,77.0929544,1770636484503.0,0
203.0,224.0,12.33750057220459,49.712501525878906,-8.737500190734863,51.960471879234824,11.0649936,77.0930435,1770636489268.0,0
242.0,233.0,1.962499976158142,35.63750076293945,-16.0625,39.13932514792419,11.0650906,77.0929365,1770636492594.0,0
529.0,302.0,19.037500381469727,18.42500114440918,-14.912500381469727,30.402134062813325,11.0650288,77.0931988,1770636495670.0,2
166.0,251.0,18.543750762939453,28.125001907348633,-14.625000953674316,36.725700504433625,11.0650883,77.092994,1770636496133.0,0
